iter	Passed	Remaining
0	106	63717
1	209	62557
2	318	63352
3	420	62551
4	514	61151
5	638	63087
6	735	62173
7	837	61890
8	937	61429
9	1050	61895
10	1143	61120
11	1234	60407
12	1327	59854
13	1414	59095
14	1500	58416
15	1587	57846
16	1666	57064
17	1763	56921
18	1848	56434
19	1941	56199
20	2018	55568
21	2104	55201
22	2190	54852
23	2276	54551
24	2363	54264
25	2454	54096
26	2540	53824
27	2638	53812
28	2724	53554
29	2813	53367
30	2914	53405
31	3016	53449
32	3111	53361
33	3213	53408
34	3321	53517
35	3417	53440
36	3522	53501
37	3620	53446
38	3731	53578
39	3839	53661
40	3954	53818
41	4078	54084
42	4181	54064
43	4286	54067
44	4370	53800
45	4471	53758
46	4589	53907
47	4690	53846
48	4802	53906
49	4903	53844
50	5009	53829
51	5118	53839
52	5224	53820
53	5338	53874
54	5422	53638
55	5533	53657
56	5627	53508
57	5920	55221
58	5834	53400
59	6118	54962
60	6229	54941
61	6133	53122
62	6251	53191
63	6364	53202
64	6471	53169
65	6575	53103
66	6680	53045
67	6772	52882
68	6871	52780
69	6971	52682
70	7071	52585
71	7178	52539
72	7285	52496
73	7391	52440
74	7491	52343
75	7589	52226
76	7694	52161
77	7795	52068
78	7899	51999
79	8013	51990
80	8123	51951
81	8217	51811
82	8325	51759
83	8433	51705
84	8530	51586
85	8625	51453
86	8725	51347
87	8822	51229
88	8910	51062
89	9015	50985
90	9099	50796
91	9203	50719
92	9305	50628
93	9408	50548
94	9511	50463
95	9607	50337
96	9702	50214
97	9818	50195
98	9927	50137
9999	10255	511710100	10369	5112101	10239	49894
102	10362	49900
103	10462	49799
104	10576	49761
105	10693	49734
106	10800	49659
10107	11129	5060108	10995	49427
10109	11347	504411110	11443	503111111	11547	502011112	11659	501411113	11770	5007114	11628	48940
115	11726	48828
11116	12087	497911117	12179	4964118	12034	48543
119	12162	48547
120	12271	48476
121	12369	48361
122	12476	48283
123	12573	48163
124	12672	48055
125	12776	47962
126	12893	47920
127	13012	47883
128	13126	47826
129	13229	47727
130	13341	47663
131	13436	47537
132	13484	47247
133	13585	47144
134	13706	47110
135	13803	46992
136	13903	46885
137	14005	46786
138	14034	46444
139	14138	46355
140	14241	46259
141	14351	46188
142	14456	46097
143	14496	45806
144	14592	45689
145	14690	45580
146	14791	45482
